Algorithm,Seed,Data Size,Runtime,Theoretical Big-O
ShellSort1,260,16000,1.1463207920005516,0
ShellSort2,260,16000,0.22573991700119223,0
BucketSort,260,16000,0.0015941669989842921,0
RadixSort,260,16000,0.00865495799916971,0
CustomSort1,260,16000,0.384116625000388,0
CustomSort2,260,16000,0.02540899999985413,0
MergeSort,883,16000,0.02868874999876425,0
QuickSort,883,16000,0.03053524999995716,0
InsertionSort,883,16000,4.067919500001153,0
ShellSort1,883,16000,1.1228920419998758,0
ShellSort2,883,16000,0.19576470799984236,0
BucketSort,883,16000,0.0016217909997067181,0
RadixSort,883,16000,0.008697541001311038,0
CustomSort1,883,16000,0.3829056249996938,0
CustomSort2,883,16000,0.02523170800122898,0
MergeSort,464,16000,0.028838082998845493,0
QuickSort,464,16000,0.030514583999320166,0
InsertionSort,464,16000,4.011928707999687,0
ShellSort1,464,16000,1.110352415998932,0
ShellSort2,464,16000,0.2191603329993086,0
BucketSort,464,16000,0.0016258750001725275,0
RadixSort,464,16000,0.008654084000227158,0
CustomSort1,464,16000,0.38332208300016646,0
CustomSort2,464,16000,0.027132500001243898,0
MergeSort,893,16000,0.029675165998924058,0
QuickSort,893,16000,0.031554750001305365,0
InsertionSort,893,16000,4.002929291000328,0
ShellSort1,893,16000,1.1233953749997454,0
ShellSort2,893,16000,0.24145450000105484,0
BucketSort,893,16000,0.0016353749997506384,0
RadixSort,893,16000,0.008876333000443992,0
CustomSort1,893,16000,0.38750570800038986,0
CustomSort2,893,16000,0.02532187500037253,0
MergeSort,942,16000,0.028508540999609977,0
QuickSort,942,16000,0.03056379199915682,0
InsertionSort,942,16000,3.970157375000781,0
ShellSort1,942,16000,1.1244907910004258,0
ShellSort2,942,16000,0.21648683300008997,0
BucketSort,942,16000,0.001713957999527338,0
RadixSort,942,16000,0.008943666998675326,0
CustomSort1,942,16000,0.38133249999918917,0
CustomSort2,942,16000,0.024921500000345986,0
