Algorithm,Seed,Data Size,Runtime,Theoretical Big-O
CustomSort2,893,2000,0.0024069579994829837,0
MergeSort,942,2000,0.0029269589995237766,0
QuickSort,942,2000,0.0021159169991733506,0
InsertionSort,942,2000,0.05934833399987838,0
ShellSort1,942,2000,0.01912020799863967,0
ShellSort2,942,2000,0.009165833000224666,0
BucketSort,942,2000,0.00030241700005717576,0
RadixSort,942,2000,0.0012027920001855819,0
CustomSort1,942,2000,0.005878292000488727,0
CustomSort2,942,2000,0.002458249999108375,0
MergeSort,260,4000,0.006492666998383356,0
QuickSort,260,4000,0.004966624999724445,0
InsertionSort,260,4000,0.24038333300086379,0
ShellSort1,260,4000,0.07398379200094496,0
ShellSort2,260,4000,0.028808791999836103,0
BucketSort,260,4000,0.0005247499993856763,0
RadixSort,260,4000,0.0022805829994467786,0
CustomSort1,260,4000,0.021126540999830468,0
CustomSort2,260,4000,0.005342791999282781,0
MergeSort,883,4000,0.00631158400028653,0
QuickSort,883,4000,0.0049776249998103594,0
InsertionSort,883,4000,0.23759716600034153,0
ShellSort1,883,4000,0.07025816699933785,0
ShellSort2,883,4000,0.02826370799994038,0
BucketSort,883,4000,0.0005150420001882594,0
RadixSort,883,4000,0.002194791999500012,0
CustomSort1,883,4000,0.02091724999991129,0
CustomSort2,883,4000,0.005467291999593726,0
MergeSort,464,4000,0.00629754199871968,0
QuickSort,464,4000,0.004850167000768124,0
InsertionSort,464,4000,0.23818191700047464,0
ShellSort1,464,4000,0.07476849999875412,0
ShellSort2,464,4000,0.02947616600067704,0
BucketSort,464,4000,0.0008355829995707609,0
RadixSort,464,4000,0.0021835829993506195,0
CustomSort1,464,4000,0.021186374999160762,0
CustomSort2,464,4000,0.005382750001444947,0
MergeSort,893,4000,0.006291167001108988,0
QuickSort,893,4000,0.005132291998961591,0
InsertionSort,893,4000,0.23543158400025277,0
ShellSort1,893,4000,0.0703672089985048,0
ShellSort2,893,4000,0.027118915999380988,0
BucketSort,893,4000,0.007586166999317356,0
RadixSort,893,4000,0.0022604579990002094,0
CustomSort1,893,4000,0.021127416999661364,0
CustomSort2,893,4000,0.00540812500003085,0
MergeSort,942,4000,0.00637408299917297,0
QuickSort,942,4000,0.005053667000538553,0
InsertionSort,942,4000,0.23629991699999664,0
ShellSort1,942,4000,0.07139687500057335,0
ShellSort2,942,4000,0.02650437500051339,0
BucketSort,942,4000,0.0005071249997854466,0
RadixSort,942,4000,0.0022110420013632393,0
CustomSort1,942,4000,0.02116941700114694,0
CustomSort2,942,4000,0.005349875000320026,0
MergeSort,260,8000,0.013436708999506664,0
QuickSort,260,8000,0.012306708000323852,0
InsertionSort,260,8000,0.9682658340007038,0
ShellSort1,260,8000,0.28571437500067987,0
ShellSort2,260,8000,0.07183074999920791,0
BucketSort,260,8000,0.0008441250010946533,0
RadixSort,260,8000,0.0043651669984683394,0
CustomSort1,260,8000,0.09166937500049244,0
CustomSort2,260,8000,0.011546416999408393,0
MergeSort,883,8000,0.013432749999992666,0
QuickSort,883,8000,0.011675749999994878,0
InsertionSort,883,8000,0.9546214170004532,0
ShellSort1,883,8000,0.2774834589999955,0
ShellSort2,883,8000,0.08326608400057012,0
BucketSort,883,8000,0.0008664590004627826,0
RadixSort,883,8000,0.004380541000500671,0
CustomSort1,883,8000,0.09013025000058406,0
CustomSort2,883,8000,0.01157187499848078,0
MergeSort,464,8000,0.013442292000036105,0
QuickSort,464,8000,0.011740084000848583,0
InsertionSort,464,8000,0.9562032909998379,0
ShellSort1,464,8000,0.2787794579999172,0
ShellSort2,464,8000,0.07910741700106882,0
BucketSort,464,8000,0.0008828749996609986,0
RadixSort,464,8000,0.0043877500011149095,0
CustomSort1,464,8000,0.09080820799863432,0
CustomSort2,464,8000,0.011623290998613811,0
MergeSort,893,8000,0.013444582998999977,0
QuickSort,893,8000,0.01254545800111373,0
InsertionSort,893,8000,0.954451292000158,0
ShellSort1,893,8000,0.2781399169998622,0
ShellSort2,893,8000,0.07879420899917022,0
BucketSort,893,8000,0.0008657090002088808,0
RadixSort,893,8000,0.004383875000712578,0
CustomSort1,893,8000,0.09025020899935043,0
CustomSort2,893,8000,0.011663167000733665,0
MergeSort,942,8000,0.013422666999758803,0
QuickSort,942,8000,0.012675874999331427,0
InsertionSort,942,8000,0.9651157919997786,0
ShellSort1,942,8000,0.28314495899940084,0
ShellSort2,942,8000,0.07968379199883202,0
BucketSort,942,8000,0.0008682920015417039,0
RadixSort,942,8000,0.004449791998922592,0
CustomSort1,942,8000,0.09117470799901639,0
CustomSort2,942,8000,0.011627541000052588,0
MergeSort,260,16000,0.028553792000820977,0
QuickSort,260,16000,0.030438292000326328,0
InsertionSort,260,16000,3.8934812909992615,0
ShellSort1,260,16000,1.1273606249997101,0
ShellSort2,260,16000,0.22819383400019433,0
BucketSort,260,16000,0.0015719169987278292,0
RadixSort,260,16000,0.008681332999913138,0
CustomSort1,260,16000,0.38229545799913467,0
CustomSort2,260,16000,0.024880875000235392,0
MergeSort,883,16000,0.02869312500115484,0
QuickSort,883,16000,0.031274249999114545,0
InsertionSort,883,16000,3.8923163330000534,0
ShellSort1,883,16000,1.1148932920004881,0
ShellSort2,883,16000,0.19346816600045713,0
BucketSort,883,16000,0.0016062090016930597,0
RadixSort,883,16000,0.008678832999066799,0
CustomSort1,883,16000,0.3852342909995059,0
CustomSort2,883,16000,0.024893707999581238,0
MergeSort,464,16000,0.028653749999648426,0
QuickSort,464,16000,0.030632292000518646,0
InsertionSort,464,16000,3.8373709169991344,0
ShellSort1,464,16000,1.0984022909997293,0
ShellSort2,464,16000,0.21548341699963203,0
BucketSort,464,16000,0.0016520839999429882,0
RadixSort,464,16000,0.008681416000399622,0
CustomSort1,464,16000,0.3787264160000632,0
CustomSort2,464,16000,0.025161042000036105,0
MergeSort,893,16000,0.028603875000044354,0
QuickSort,893,16000,0.03163591700104007,0
InsertionSort,893,16000,3.865284583000175,0
ShellSort1,893,16000,1.1237660420010798,0
ShellSort2,893,16000,0.2491629579999426,0
BucketSort,893,16000,0.0016345000003639143,0
RadixSort,893,16000,0.008992541999759851,0
CustomSort1,893,16000,0.388670500000444,0
CustomSort2,893,16000,0.024861207999492763,0
MergeSort,942,16000,0.028907332998642232,0
QuickSort,942,16000,0.03140858299957472,0
InsertionSort,942,16000,3.8312324170001375,0
ShellSort1,942,16000,1.1034408750001603,0
ShellSort2,942,16000,0.21758916699945985,0
BucketSort,942,16000,0.0015910829988570185,0
RadixSort,942,16000,0.008877165999365388,0
CustomSort1,942,16000,0.3777059999993071,0
CustomSort2,942,16000,0.02537595799913106,0
